Draw Date,Regular Numbers,,,,,,,Bonus
29th December 2023,3,6,9,25,30,36,42,34
26th December 2023,1,11,13,17,42,45,49,23
22nd December 2023,8,16,19,25,30,33,47,10
19th December 2023,2,3,4,13,21,35,38,50
15th December 2023,1,2,13,15,20,21,45,8
12th December 2023,2,6,22,23,28,30,42,43
8th December 2023,8,9,11,23,25,32,34,20
5th December 2023,3,4,8,10,38,43,47,18
1st December 2023,4,12,15,22,36,44,46,33
28th November 2023,1,18,25,26,30,34,39,20
24th November 2023,2,24,25,28,36,37,46,26
21st November 2023,7,13,30,34,37,38,42,35
17th November 2023,2,23,28,30,31,33,37,50
14th November 2023,9,14,15,19,45,47,50,33
10th November 2023,7,12,15,16,35,45,48,10
7th November 2023,4,6,16,19,29,31,44,22
3rd November 2023,5,7,9,10,19,24,40,18
31st October 2023,22,23,25,26,35,40,44,33
27th October 2023,6,17,25,28,30,34,36,15
24th October 2023,4,15,16,17,23,27,47,1
20th October 2023,3,18,19,21,25,46,50,22
17th October 2023,2,7,15,16,18,19,25,35
13th October 2023,8,17,20,23,28,31,33,45
10th October 2023,5,6,12,28,33,41,47,1
6th October 2023,4,17,20,23,25,27,41,0
3rd October 2023,1,7,10,15,30,34,47,29
29th September 2023,2,12,19,26,34,44,46,41
26th September 2023,3,7,13,20,22,25,47,23
22nd September 2023,12,13,19,26,33,39,43,2
19th September 2023,4,7,13,20,24,30,48,5
15th September 2023,1,2,11,27,31,35,44,18
12th September 2023,6,7,9,12,13,32,37,15
8th September 2023,15,22,25,29,30,31,34,18
5th September 2023,8,20,23,26,38,45,47,33
1st September 2023,1,7,15,30,36,37,46,14
29th August 2023,13,17,19,22,26,28,40,20
25th August 2023,7,12,17,18,37,38,45,40
22nd August 2023,2,7,12,19,38,42,50,39
18th August 2023,1,7,29,36,40,42,50,35
15th August 2023,13,15,20,29,31,48,49,18
11th August 2023,7,8,23,28,29,31,37,43
8th August 2023,7,19,22,34,44,46,49,26
4th August 2023,2,11,16,21,32,44,47,13
1st August 2023,2,13,26,28,30,43,46,24
28th July 2023,4,17,26,28,29,41,48,16
25th July 2023,15,16,17,18,43,44,48,50
21st July 2023,4,8,14,25,28,40,41,6
18th July 2023,2,4,5,15,29,40,49,42
14th July 2023,3,11,23,27,39,44,48,17
11th July 2023,5,16,23,24,31,40,48,3
7th July 2023,12,13,28,32,34,35,40,27
4th July 2023,2,9,20,21,23,32,43,1
30th June 2023,1,13,19,26,35,42,49,37
27th June 2023,1,9,25,31,34,35,38,36
23rd June 2023,8,19,21,29,33,40,46,25
20th June 2023,5,10,24,30,32,43,48,40
16th June 2023,11,20,30,34,41,47,49,16
13th June 2023,1,2,8,12,24,44,45,26
9th June 2023,7,10,12,31,37,42,44,34
6th June 2023,4,7,13,16,31,32,39,26
2nd June 2023,1,12,16,21,29,43,49,8
30th May 2023,13,14,18,19,25,29,38,36
26th May 2023,2,7,9,12,21,30,37,23
23rd May 2023,1,7,10,18,23,24,34,3
19th May 2023,12,13,35,41,42,44,47,32
16th May 2023,11,13,19,25,28,46,49,24
12th May 2023,4,5,20,26,28,29,48,44
9th May 2023,18,19,31,33,35,40,50,16
5th May 2023,8,16,22,24,25,30,32,11
2nd May 2023,2,12,22,30,32,35,36,1
28th April 2023,1,2,12,15,35,39,45,44
25th April 2023,4,19,21,33,37,38,39,42
21st April 2023,7,8,18,26,33,42,46,39
18th April 2023,5,7,16,20,26,30,36,44
14th April 2023,17,25,28,30,34,46,49,42
11th April 2023,4,5,11,12,31,43,44,15
7th April 2023,15,26,34,41,44,45,46,11
4th April 2023,6,15,29,32,36,45,48,39
31st March 2023,1,3,26,28,36,47,50,48
28th March 2023,5,9,12,19,21,22,49,31
24th March 2023,5,9,14,23,32,33,46,26
21st March 2023,7,15,17,20,32,40,50,21
17th March 2023,5,15,17,22,25,37,46,13
14th March 2023,4,15,17,24,27,32,41,36
10th March 2023,18,19,31,36,38,41,43,8
7th March 2023,1,16,26,28,31,44,45,22
3rd March 2023,10,14,20,37,42,44,46,50
28th February 2023,1,3,8,24,35,42,43,18
24th February 2023,1,11,15,21,35,48,49,3
21st February 2023,2,14,26,31,35,39,49,32
17th February 2023,10,12,23,26,39,41,45,42
14th February 2023,9,15,21,28,31,36,38,12
10th February 2023,6,16,22,23,28,29,34,8
7th February 2023,1,13,26,30,37,42,50,10
3rd February 2023,7,10,15,17,25,39,45,43
31st January 2023,2,6,16,23,40,41,48,31
27th January 2023,4,5,9,13,29,30,35,20
24th January 2023,10,20,25,29,35,42,45,3
20th January 2023,9,16,17,19,30,38,49,45
17th January 2023,1,2,5,6,16,30,45,19
13th January 2023,3,16,17,23,35,37,47,26
10th January 2023,10,16,18,33,34,37,45,36
6th January 2023,7,14,20,24,35,40,50,15
3rd January 2023,9,25,32,34,37,46,50,18
